                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.84219,                 1.0374,                 1.2423,                0.75876,                0.77246,                0.79399,                0.58693,                 1.2362,                 1.5127,                 1.6778,             0.00077663,             0.00077663,             0.00077663
                     79,                0.76236,                0.96775,                 1.1728,                0.76449,                0.62624,                0.72143,                 0.4766,                 1.5526,                 1.7663,                 1.8809,             0.00077223,             0.00077223,             0.00077223
                     80,                0.86946,                 1.0448,                  1.217,                0.76222,                   0.55,                0.66788,                0.47936,                 1.5642,                 1.9066,                 2.0276,             0.00076783,             0.00076783,             0.00076783
                     81,                0.77659,                0.93848,                 1.2236,                0.61169,                 0.7875,                0.73307,                0.50712,                 1.2171,                 1.6235,                 1.6007,             0.00076343,             0.00076343,             0.00076343
                     82,                0.81216,                0.92617,                 1.2278,                0.72796,                0.55295,                    0.7,                0.47197,                  1.431,                 1.5889,                 1.9092,             0.00075904,             0.00075904,             0.00075904
                     83,                0.75502,                0.96738,                 1.1934,                0.90364,                  0.375,                 0.5357,                0.36873,                 2.1125,                 2.3641,                 3.0706,             0.00075464,             0.00075464,             0.00075464
                     84,                0.75507,                0.90002,                  1.187,                0.74588,                  0.375,                0.43672,                0.34592,                 2.0064,                 2.2547,                 2.8524,             0.00075024,             0.00075024,             0.00075024
                     85,                0.76554,                0.92099,                 1.1884,                0.83434,                0.52425,                0.63754,                0.40712,                 1.6297,                 2.0234,                 2.0456,             0.00074584,             0.00074584,             0.00074584
                     86,                0.74123,                0.94501,                  1.172,                0.53704,                0.57868,                0.60348,                0.44843,                 1.5177,                  2.124,                 1.9104,             0.00074144,             0.00074144,             0.00074144
                     87,                0.73784,                0.93473,                 1.1888,                0.66807,                0.86402,                0.77134,                0.56021,                 1.2713,                  1.467,                 1.7253,             0.00073704,             0.00073704,             0.00073704
                     88,                0.70265,                0.88865,                 1.1505,                0.73374,                 0.8375,                0.83969,                0.61328,                 1.0755,                 1.1992,                 1.6489,             0.00073264,             0.00073264,             0.00073264
                     89,                0.79087,                0.96311,                 1.2348,                0.69811,                0.51986,                0.60896,                0.41211,                 1.6166,                  2.099,                 2.3453,             0.00072824,             0.00072824,             0.00072824
                     90,                0.77163,                0.97333,                 1.2373,                0.78958,                0.56694,                0.69797,                0.57062,                 1.3438,                 1.6433,                 1.9437,             0.00072384,             0.00072384,             0.00072384
                     91,                0.76914,                0.94415,                 1.1963,                0.58343,                0.80515,                0.78769,                0.54035,                 1.2404,                 1.4492,                 1.8399,             0.00071944,             0.00071944,             0.00071944
                     92,                0.76358,                 1.0013,                 1.2068,                0.61336,                0.76268,                0.77329,                0.52869,                 1.2666,                 1.6792,                 1.7546,             0.00071504,             0.00071504,             0.00071504
                     93,                0.70022,                 0.8277,                 1.1409,                0.58964,                0.82695,                0.82423,                0.60995,                 1.0905,                 1.5002,                 1.7294,             0.00071064,             0.00071064,             0.00071064
                     94,                0.73067,                0.85573,                 1.1851,                 0.7189,                 0.7375,                0.79277,                0.59016,                 1.1929,                 1.6788,                 1.7816,             0.00070624,             0.00070624,             0.00070624
                     95,                0.73708,                0.94035,                 1.1863,                0.77185,                 0.7375,                0.74807,                0.59759,                 1.1974,                 1.5526,                 1.7899,             0.00070184,             0.00070184,             0.00070184
                     96,                 0.7086,                0.82886,                 1.1504,                0.71953,                 0.7375,                0.73994,                0.57829,                 1.0999,                 1.4236,                 1.6595,             0.00069744,             0.00069744,             0.00069744
                     97,                0.72973,                 0.8112,                 1.1927,                0.68345,                0.72885,                0.72973,                0.56838,                 1.1072,                 1.2955,                 1.6342,             0.00069304,             0.00069304,             0.00069304
                     98,                0.71288,                0.79912,                 1.1644,                0.72955,                0.69205,                0.73996,                0.59303,                  1.415,                 1.3632,                  1.913,             0.00068864,             0.00068864,             0.00068864
                     99,                0.79463,                0.91135,                  1.229,                0.67706,                 0.7375,                0.76764,                0.58201,                  1.223,                 1.4026,                 1.7891,             0.00068424,             0.00068424,             0.00068424
                    100,                0.70499,                0.84335,                 1.1628,                0.61534,                0.51124,                0.66417,                 0.5216,                 1.0084,                 1.3386,                  1.544,             0.00067984,             0.00067984,             0.00067984
                    101,                0.71764,                0.90958,                 1.1699,                0.50804,                 0.6125,                0.57974,                0.47192,                 1.1507,                  1.504,                 1.5867,             0.00067544,             0.00067544,             0.00067544
                    102,                0.77455,                0.92614,                  1.201,                0.64214,                0.65499,                0.62634,                0.49369,                 1.0321,                 1.4208,                 1.4557,             0.00067104,             0.00067104,             0.00067104
                    103,                0.69404,                0.85952,                 1.1342,                0.73351,                 0.6625,                0.67784,                0.53787,                 1.0574,                 1.3194,                 1.3452,             0.00066664,             0.00066664,             0.00066664
                    104,                0.72022,                0.83135,                 1.1666,                0.82635,                0.65494,                0.70019,                0.53759,                 1.0736,                 1.4024,                 1.3946,             0.00066224,             0.00066224,             0.00066224
                    105,                0.68807,                 0.8019,                 1.1306,                0.83109,                 0.6625,                 0.8281,                0.63478,                 1.0102,                 1.1858,                 1.3415,             0.00065785,             0.00065785,             0.00065785
                    106,                0.68532,                0.86977,                 1.1353,                0.66321,                0.76605,                0.78193,                0.61641,                 1.0855,                  1.284,                 1.4407,             0.00065345,             0.00065345,             0.00065345
                    107,                0.73025,                0.86921,                 1.1958,                0.64823,                0.89164,                0.77734,                0.58544,                 1.1595,                 1.2504,                 1.5319,             0.00064905,             0.00064905,             0.00064905
                    108,                0.67117,                  0.804,                 1.1384,                0.64426,                0.82138,                0.83729,                0.58595,                 1.2782,                 1.1793,                 1.7088,             0.00064465,             0.00064465,             0.00064465
                    109,                 0.6731,                 0.8209,                 1.1374,                0.83923,                0.70774,                0.84122,                0.61142,                 1.0175,                 1.0572,                 1.5417,             0.00064025,             0.00064025,             0.00064025
                    110,                0.65891,                0.80034,                 1.1123,                0.65652,                0.72279,                 0.7368,                0.57013,                0.99654,                 1.5793,                 1.5857,             0.00063585,             0.00063585,             0.00063585
                    111,                0.67494,                0.77956,                 1.1529,                0.60531,                 0.7298,                0.68202,                0.52249,                 1.0016,                 1.6321,                 1.4608,             0.00063145,             0.00063145,             0.00063145
                    112,                0.65857,                0.75641,                 1.1244,                0.81598,                    0.6,                0.73003,                0.52164,                 1.0079,                 1.2916,                 1.4135,             0.00062705,             0.00062705,             0.00062705
                    113,                0.67143,                0.71976,                  1.118,                0.55519,                0.58072,                0.72271,                0.49061,                 1.0301,                 1.4498,                 1.4613,             0.00062265,             0.00062265,             0.00062265
                    114,                0.67178,                0.75141,                 1.1415,                0.44375,                    0.6,                0.70847,                0.50948,                 1.0674,                 1.2902,                 1.4468,             0.00061825,             0.00061825,             0.00061825
                    115,                0.60029,                0.68301,                 1.0717,                0.68324,                0.64096,                0.76245,                0.57638,                 1.1703,                 1.2306,                 1.4744,             0.00061385,             0.00061385,             0.00061385
                    116,                0.63078,                0.74074,                 1.0982,                0.66236,                0.51954,                0.67433,                0.57068,                0.90114,                 1.4411,                 1.3369,             0.00060945,             0.00060945,             0.00060945
                    117,                0.60697,                0.70588,                 1.1084,                0.68639,                0.52319,                0.68433,                0.63772,                0.84481,                 1.1959,                 1.3235,             0.00060505,             0.00060505,             0.00060505
                    118,                0.61649,                0.78299,                 1.1021,                0.68823,                0.76985,                0.74312,                0.63598,                0.97936,                 1.0743,                 1.4872,             0.00060065,             0.00060065,             0.00060065
                    119,                 0.6455,                0.72942,                 1.0964,                0.67457,                0.71808,                 0.7868,                0.66199,                 1.1916,                0.94005,                 1.7661,             0.00059625,             0.00059625,             0.00059625
                    120,                0.67612,                0.78221,                 1.1106,                0.65997,                0.83935,                0.81772,                0.64412,                 1.1941,                0.96047,                 1.7261,             0.00059185,             0.00059185,             0.00059185
                    121,                 0.6306,                0.73597,                 1.1023,                0.66749,                0.84572,                0.81306,                0.68482,                 1.0686,                0.98987,                 1.5513,             0.00058745,             0.00058745,             0.00058745
                    122,                0.63059,                0.76457,                 1.0915,                 0.6119,                0.72653,                0.71586,                0.61194,                  1.084,                 1.3533,                 1.5562,             0.00058305,             0.00058305,             0.00058305
                    123,                 0.5703,                 0.6817,                 1.0432,                0.66683,                0.72855,                0.69809,                 0.5846,                 1.0979,                 1.2836,                 1.6471,             0.00057865,             0.00057865,             0.00057865
                    124,                0.63245,                0.73072,                 1.0904,                0.80499,                0.66926,                0.71666,                0.57084,                 1.1262,                 1.3336,                 1.6295,             0.00057425,             0.00057425,             0.00057425
                    125,                  0.595,                0.68659,                 1.1024,                0.76622,                0.66708,                0.73072,                0.57557,                 1.1743,                 1.2063,                 1.6456,             0.00056985,             0.00056985,             0.00056985
                    126,                0.66376,                0.77909,                 1.1153,                 0.7378,                0.76465,                0.74659,                 0.5511,                  1.227,                 1.2358,                 1.7076,             0.00056545,             0.00056545,             0.00056545
                    127,                0.61477,                0.71103,                 1.1164,                0.72278,                0.54502,                0.65539,                0.54438,                 1.0177,                 1.2505,                 1.4532,             0.00056105,             0.00056105,             0.00056105
                    128,                0.58973,                0.62175,                 1.0481,                0.62561,                0.67159,                0.66649,                0.57162,                0.97494,                  1.331,                 1.4398,             0.00055666,             0.00055666,             0.00055666
                    129,                0.58741,                0.63946,                 1.0622,                 0.6089,                0.65849,                0.68315,                0.57971,                 1.0367,                  1.349,                 1.5052,             0.00055226,             0.00055226,             0.00055226
